"","entidad","munici","ds2","ds3","ds5a","ds6","ds7","ds8","ds10","ds16","ds21","tb02","dm1b","dm1d","di1a","di1b","di1c","di1d","di1e","di1f","di1h","al1","di1g","ds9","ds14","ds22","ds23","tb06","dm4b","dm4d","di4a","di4b","di4c","di4d","di4e","di4f","di4h","al3"
"1",0,0,0,0.6,0,1,1,0.5,0,0.428571428571429,1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"3",0,0,0,0.4,1,0,0,0.5,0,0.428571428571429,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,1,0.181818181818182,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"6",0,0,1,1,1,0.8,0,0.5,1,0.785714285714286,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0,0,0.454545454545455,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1
"8",0,0,1,0.6,1,0,0,0.5,1,0.785714285714286,0,0.25,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0510204081632653,0,0.272727272727273,0.333333333333333,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"12",0,0,0,0.4,1,1,0,0.5,0,0.357142857142857,0,0.125,0,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,1,0,0.333333333333333,0.142857142857143,1,1,1,0.142857142857143,1,1,1,1,1,0.142857142857143
"20",0,0,0,0.8,1,0.6,0,0.5,1,0.857142857142857,1,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0306122448979592,0.692307692307692,1,1,1,1,1,0.285714285714286,1,1,1,1,1,1,0.285714285714286
"23",0,0,1,0.6,1,1,0,0.5,0,1,1,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0408163265306122,1,1,1,1,1,1,1,1,1,1,1,1,1,0.285714285714286
"24",0,0,0,1,1,0,0,0.5,0,0.642857142857143,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0714285714285714,1,0.0909090909090909,0.333333333333333,0.142857142857143,1,1,1,1,1,1,1,1,1,0.142857142857143
"25",0,0,1,0.8,1,0,0,0.5,1,0.785714285714286,0,0.25,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0102040816326531,0,0,0,1,1,1,1,1,1,1,1,1,1,0.142857142857143
"26",0,0,1,0.8,1,0.6,0,0.5,0,0,0,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.0816326530612245,1,0.0909090909090909,0,1,1,1,0.714285714285714,1,1,1,1,1,1,0.285714285714286
